,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
38,Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,Inhibiting focal adhesion formed increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,68,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,3,*
39,Integrated care is ineffective at tackling multiple comorbidities.,Integrated care is incompetent at tackling multiple comorbidities.,25,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,1,
40,MafA phosphorylation enhances its ubiquitination.,MafA phosphorylation augment its ubiquitination.,56,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,2,
42,Medications to treat obesity do not have side effects.,Medications to treat obesity do not have sideways effects.,177,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
43,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,Mice deficiency Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,73,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
44,Mitochondria play a trivial role in calcium homeostasis.,Mitochondria play a patti role in calcium homeostasis.,55,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
45,Monoclonal antibody targeting of N-cadherin encourages metastasis.,Monoclonal antibody concentrates of N-cadherin encourages metastasis.,72,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
46,Natriuretic peptides increase susceptibility to diabetes.,Natriuretic peptides amplify susceptibility to diabetes.,53,SuccessfulAttackResult,TextFoolerJin2019,1,1,,,,,3,,
49,Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,Nonsteroidal antinflammatory drugs are dispensable as cancer treatments.,29,SuccessfulAttackResult,TextFoolerJin2019,1,1,,,,,3,1,
51,Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,Patients with common epithelial cancers are slightest likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,47,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
53,Physical activity does not improve cognitive function in individuals with Alzheimers.,Physical activity does not amplify cognitive function in individuals with Alzheimers.,57,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,3,3,
54,Pioglitazone use is not associated with an increased risk of prostate cancer.,Pioglitazone use is not associated with an increased risk of prostate metastasis.,212,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
57,Risedronate increases risk of vertebral and non-vertebral fractures.,Risedronate risen risk of vertebral and non-vertebral fractures.,59,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
58,Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,Risk-adjusted mortality cadence are similar in teaching and non-teaching hospitals.,39,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,5,,,
59,Sepsis related mortality has remained stable between 2009-2014.,Sepsis related mortality has follows stable between 2009-2014.,124,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
60,Sepsis related mortality has risen from 2009 to 2014.,Sepsis related assassinate has risen from 2009 to 2014.,53,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
61,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,Sildenafil deepening erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,67,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
63,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Undergraduates who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,49,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
65,Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED),Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with molotov eye disease (IED),45,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
66,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND program demonstrates no colossal impact on lifestyles outcomes.,145,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
67,The DESMOND program demonstrates no significant impact on weight loss.,The DESMOND emission demonstrates no significant impact on weight loss.,49,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
68,The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,The merges of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,297,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
69,The mean suicide rate in women is lower after miscarriage than live birth.,The mean suicide rate in women is baja after miscarriage than live birth.,117,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
70,The minor G allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,The minor grammes allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,29,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,2,5,,,
71,There is no increased risk of hypospadias with clomiphene.,There is no increased apt of hypospadias with clomiphene.,85,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
73,There is no relation between Erythromycin use and hypertrophic pyloric stenosis.,There is no concerning between Erythromycin use and hypertrophic pyloric stenosis.,55,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
74,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,There was an evaluation 30 million cases of pneumonia in young children worldwide in 2010.,40,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
76,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung.","Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of incite chemokines in the lung.",39,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
77,Whole brain radiotherapy increases the occurrence of new brain metastases.,Whole brain radiotherapy augmentation the occurrence of new brain metastases.,86,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
78,Women with a lower birth weight are more likely to develop breast cancer later in life.,Women with a weakest birth weight are more likely to develop breast cancer later in life.,37,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
79,siRNA knockdown of A20 accelerates tumor progression in an in vivo murine xenograft model.,siRNA knockdown of A20 rapids tumor progression in an in vivo murine xenograft model.,38,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
80,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.","A comprehensive of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",47,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
81,ALDH1 expression is associated with better breast cancer outcomes.,ALDH1 adjectives is associated with better breast cancer outcomes.,50,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,5,,,
82,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) authorizes increases inflammation-related fibrosis in the lungs.,51,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
83,Activation of PPM1D suppresses p53 function.,Activation of PPM1D deletion p53 function.,52,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,1,,,
85,Articles published in open access format are less likely to be cited than traditional journals.,Articles published in open access format are slightest likely to be cited than traditional journals.,39,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
86,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells arises a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,240,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,3,1,
87,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has a actionable impact on mental health.,44,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
88,Birth-weight is positively associated with breast cancer.,Birth-weight is positively associated with breast cystic.,35,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,"(2, 5)",,,
89,Breast cancer development is determined exclusively by genetic factors.,Breast cancer development is determined abundantly by genetic factors.,42,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
90,CHEK2 is not associated with breast cancer.,CHEK2 is not coupled with breast cancer.,42,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,1,
91,CR is associated with higher methylation age.,RT is associated with higher methylation age.,20,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,4,,,
92,CX3CR1 on the Th2 cells promotes airway inflammation.,CX3CR1 on the Th2 cells enhancing airway inflammation.,52,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
93,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,Chenodeosycholic acid treatment reduces whole-body strength expenditure.,113,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
95,Gene expression does not vary appreciably across genetically identical cells.,Gene discourses does not vary appreciably across genetically identical cells.,51,SuccessfulAttackResult,TextFoolerJin2019,0,,2,"(1, 2)",1,"(2, 5)",,,
96,Headaches are not correlated with cognitive impairment.,Arthritis are not correlated with cognitive impairment.,40,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,4,,,
97,High cardiopulmonary fitness causes increased mortality rate.,High cardiopulmonary capacities causes increased mortality rate.,27,SuccessfulAttackResult,TextFoolerJin2019,1,3,,,,,3,"(1, 2, 3)",*
99,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,Incidence rates of cervical cancer have improve due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,71,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,4,,,
100,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,Increased vessel density along with a reduction in fibrosis fallen the efficacy of chemotherapy treatments.,66,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
105,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,Mice that absence Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,62,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
108,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation use should be fell if there is inadequate response to conventional treatment.,58,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
109,Obesity is determined solely by environmental factors.,Obesity is determined abundantly by environmental factors.,40,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,4,,,
110,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,Mitigation responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,69,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
111,Suboptimal nutrition is not predictive of chronic disease,Suboptimal devouring is not predictive of chronic disease,58,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,,
113,There is an inverse relationship between hip fractures and statin use.,There is an invest relationship between hip fractures and statin use.,28,SuccessfulAttackResult,TextFoolerJin2019,0,,2,"(1, 2)",1,"(2, 5)",,,
114,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,Thigh-length graduated compression stockings (GCS) did not decrease deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,72,SuccessfulAttackResult,TextFoolerJin2019,1,1,,,,,3,3,
116,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,Transplanted human glial progenitor cells are vulnerable of forming a neural network with host animals' neurons.,71,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,2,,,
117,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,Ultrasound guidance significantly begs the number of traumatic procedures when attempting needle insertion.,63,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
