,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
72,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
73,There is no relation between Erythromycin use and hypertrophic pyloric stenosis.,There is no relation between Erythromycin use and hypertrophic pyloric stenosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
74,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,"There was an estimated 18 one million, eight hundred and sixty-seven thousand, five hundred and ninety-seven cases of pneumonia in young children worldwide in 2009.",19,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
75,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
76,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung.","Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
77,Whole brain radiotherapy increases the occurrence of new brain metastases.,Whole brain radiotherapy increases the occurrence of new brain metastases.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
78,Women with a lower birth weight are more likely to develop breast cancer later in life.,Women with a lower birth weight are more likely to develop breast cancer later in life.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
79,siRNA knockdown of A20 accelerates tumor progression in an in vivo murine xenograft model.,siRNA knockdown of A20 accelerates tumor progression in an in vivo murine xenograft model.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
80,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.","A total of 2,000 people in the UK are asymptomatic carriers of vCJD infection.",2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
81,ALDH1 expression is associated with better breast cancer outcomes.,ALDH1 expression is associated with better breast cancer outcomes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
82,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
83,Activation of PPM1D suppresses p53 function.,Activation of PPM1D suppresses p53 function.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
84,All hematopoietic stem cells segregate their chromosomes randomly.,All hematopoietic stem cells segregate their chromosomes randomly.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
85,Articles published in open access format are less likely to be cited than traditional journals.,Articles published in open access format are less likely to be cited than traditional journals.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
86,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
87,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has a positive impact on mental health.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
88,Birth-weight is positively associated with breast cancer.,Birth-weight is positively associated with breast cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
89,Breast cancer development is determined exclusively by genetic factors.,Breast cancer development is determined exclusively by genetic factors.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
90,CHEK2 is not associated with breast cancer.,CHEK2 isn't associated with breast cancer.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
91,CR is associated with higher methylation age.,CR is associated with higher methylation age.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
92,CX3CR1 on the Th2 cells promotes airway inflammation.,CX3CR1 on the Th2 cells promotes airway inflammation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
93,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
94,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,Commelina yellow mottle virus' (ComYMV) genome consists of 1526 baise pairs.,4,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
95,Gene expression does not vary appreciably across genetically identical cells.,Gene expression doesn't vary appreciably across genetically identical cells.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
96,Headaches are not correlated with cognitive impairment.,Headaches aren't correlated with cognitive impairment.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
97,High cardiopulmonary fitness causes increased mortality rate.,High cardiopulmonary fitness causes increased mortality rate.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
98,Incidence of heart failure decreased by 10% in women since 1979.,Incidence of heart failure decreased by 11% in women since 2888.,10,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
99,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
100,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
101,LDL cholesterol has no involvement in the development of cardiovascular disease.,LDL cholesterol has no involvement in the development of cardiovascular disease.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
102,Leuko-increased blood increases infectious complications in red blood cell transfusion.,Leuko-increased blood increases infectious complications in red blood cell transfusion.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
103,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
104,Macrolides have no protective effect against myocardial infarction.,Macrolides have no protective effect against myocardial infarction.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
105,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
106,Mitochondria are uninvolved in apoptosis.,Mitochondria are uninvolved in apoptosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
107,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,New drugs for tuberculosis often don't penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
108,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation use should be decreased if there's inadequate response to conventional treatment.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
109,Obesity is determined solely by environmental factors.,Obesity is determined solely by environmental factors.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
110,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 2 Diabetes.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
111,Suboptimal nutrition is not predictive of chronic disease,Suboptimal nutrition isn't predictive of chronic disease,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
112,The risk of male prisoners harming themselves is ten times that of female prisoners.,The risk of male prisoners harming themselves is six times that of female prisoners.,4,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
113,There is an inverse relationship between hip fractures and statin use.,There is an inverse relationship between hip fractures and statin use.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
114,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,Thigh-length graduated compression stockings (GCS) didn't reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
115,Tirasemtiv has no effect on fast-twitch muscle.,Tirasemtiv has no effect on fast-twitch muscle.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
116,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
117,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
60,Sepsis related mortality has risen from 2009 to 2014.,Sepsis related mortality has risen from 1237 to 2014.,7,SuccessfulAttackResult,checklist_ribeiro_2020,0,,3,1,5,4,,
