,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
23,CCL19 is a ligand for CCR7.,CCL19 is a ligand for CCR7.,18,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
24,COPI coatmer is involved in lipid homeostasis.,COPI coatmer is involved in lipid homeostasis.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
25,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,25,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
26,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,55,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
27,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,57,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
28,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.","Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",52,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
30,Cnn1 recruitment varies with cell cycle timing.,Cnn1 recruitment varies with cell cycle timing.,27,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
31,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,37,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
33,Egr2 regulates the homeostasis of B and T cells.,Egr2 regulates the homeostasis of B and T cells.,31,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
34,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,53,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
35,Elevated cell-free mitochondrial DNA levels are associated with mortality.,Elevated cell-free mitochondrial DNA levels are associated with mortality.,30,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
36,Environmental factors can influence the development of breast cancer.,Environmental factors can influence the development of breast cancer.,24,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
37,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,48,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
38,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,35,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
40,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,30,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
41,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,34,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
42,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,41,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
43,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,40,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
44,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,37,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
46,Genomic aberrations of metastases provide information for targeted therapy.,Genomic aberrations of metastases provide information for targeted therapy.,32,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
47,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.","Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",47,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
48,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,37,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
49,Having a main partner improves HIV outcomes.,Having a main partner improves HIV outcomes.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
52,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,40,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
56,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,49,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
57,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,62,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
60,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,36,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
61,Immune responses in immune cells are geographically segregated.,Immune responses in immune cells are geographically segregated.,24,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
62,"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.","In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.",55,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
63,"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.","In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.",50,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
64,"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.","In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",57,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
66,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,41,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
67,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,39,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
69,"Inside the body, falciparum parasites reproduce asexually.","Inside the body, falciparum parasites reproduce asexually.",28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
70,Integrated care is successful at tackling multiple comorbidities.,Integrated care is successful at tackling multiple comorbidities.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
71,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,31,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
72,Klf2 is important for proper myeloid cell function.,Klf2 is important for proper myeloid cell function.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
73,Klf4 is important for proper myeloid cell differentiation.,Klf4 is important for proper myeloid cell differentiation.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
74,LDL cholesterol has a causal role in the development of cardiovascular disease.,LDL cholesterol has a causal role in the development of cardiovascular disease.,35,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
75,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,58,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
76,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,35,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
77,MICAL redox enzymes regulate actin dynamics in many cell types.,MICAL redox enzymes regulate actin dynamics in many cell types.,37,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
78,MICAL redox enzymes regulate actin dynamics.,MICAL redox enzymes regulate actin dynamics.,24,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
80,Medications to treat obesity have unwanted side effects.,Medications to treat obesity have unwanted side effects.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
81,Men are more susceptible to death due to pneumonia when compared to women.,Men are more susceptible to death due to pneumonia when compared to women.,34,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
82,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,82,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
85,Microglia are an innate immune cell type of the central nervous system.,Microglia are an innate immune cell type of the central nervous system.,37,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
86,Microglia are an innate immune cell type of the peripheral nervous system.,Microglia are an innate immune cell type of the peripheral nervous system.,36,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
88,Misunderstandings between doctors and patients can lead to non-adherence.,Misunderstandings between doctors and patients can lead to non-adherence.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
89,Mitochondria play a major role in apoptosis.,Mitochondria play a major role in apoptosis.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
90,Mitochondria play a major role in energy production.,Mitochondria play a major role in energy production.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
91,Monoclonal antibody targeting of N-cadherin inhibits growth.,Monoclonal antibody targeting of N-cadherin inhibits growth.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
92,Myelin sheaths play a role in action potential propagation.,Myelin sheaths play a role in action potential propagation.,30,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
93,Natriuretic peptides protect against diabetes.,Natriuretic peptides protect against diabetes.,19,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
94,Neutrophils produce IL-1β in response to large particles.,Neutrophils produce IL-1β in response to large particles.,29,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
95,Nonsteroidal antinflammatory drugs show potential anticancer indications.,Nonsteroidal antinflammatory drugs show potential anticancer indications.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
97,PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,45,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
99,PTEN is a regulator for the transcriptional activity of SRF,PTEN is a regulator for the transcriptional activity of SRF,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
102,Phase information is useful for predicting donor-recipient matches in organ transplantation.,Phase information is useful for predicting donor-recipient matches in organ transplantation.,35,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
104,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,39,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
105,Prescribed exercise training improves quality of life.,Prescribed exercise training improves quality of life.,22,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
106,Pro-inflammatory cytokines are up regulated during tumor development.,Pro-inflammatory cytokines are up regulated during tumor development.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
107,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,62,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
108,Pyridostatin induces checkpoint activation.,Pyridostatin induces checkpoint activation.,18,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
109,Pyridostatin stabilizes the G - quadruplex in the telomeric region.,Pyridostatin stabilizes the G - quadruplex in the telomeric region.,30,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
110,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,47,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
111,Ribosomopathies have a high degree of cell and tissue specific pathology.,Ribosomopathies have a high degree of cell and tissue specific pathology.,34,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
112,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,51,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
113,Satellite cell dysfunction is a key factor in sarcopenia development.,Satellite cell dysfunction is a key factor in sarcopenia development.,31,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
118,Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED),Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED),57,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
119,Systemic lupus erythematosus is a risk factor for cardiovascular disease.,Systemic lupus erythematosus is a risk factor for cardiovascular disease.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
120,TNFAIP3 is a glioblastoma tumor suppressor.,TNFAIP3 is a glioblastoma tumor suppressor.,20,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
121,TRAP+ osteoclasts regulate mature osteoblast maintenance.,TRAP+ osteoclasts regulate mature osteoblast maintenance.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
122,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,47,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
125,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,54,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
126,The density of cytokine receptor bearing cells affects the distance over which cytokines act.,The density of cytokine receptor bearing cells affects the distance over which cytokines act.,43,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
127,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,56,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
128,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,58,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
131,The proliferative capacity of neural progenitors differs across species.,The proliferative capacity of neural progenitors differs across species.,34,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
136,There is a relation between Erythromycin use and hypertrophic pyloric stenosis.,There is a relation between Erythromycin use and hypertrophic pyloric stenosis.,33,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
137,Tirasemtiv targets fast-twitch muscle.,Tirasemtiv targets fast-twitch muscle.,18,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
138,"Trans-acting factors, such as lncRNAs, influence mRNA translation.","Trans-acting factors, such as lncRNAs, influence mRNA translation.",29,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
139,Transplanted human glial progenitor cells can mature in their host animal.,Transplanted human glial progenitor cells can mature in their host animal.,37,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
140,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,44,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
141,Type 1 Diabetes is associated with subtle perturbations in T reg development.,Type 1 Diabetes is associated with subtle perturbations in T reg development.,38,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
144,Varying expression levels of EBI2 affect the positioning and migration of B cells.,Varying expression levels of EBI2 affect the positioning and migration of B cells.,40,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
147,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,47,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
152,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,58,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
155,Bone marrow cells contribute to adult macrophage compartments.,Bone marrow cells contribute to adult macrophage compartments.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
159,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,39,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
160,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,30,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
164,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,48,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
167,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,40,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
168,Glycolysis is one of the primary glycometabolic pathways in cells.,Glycolysis is one of the primary glycometabolic pathways in cells.,30,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
172,IRG1 has antiviral effects against neurotropic viruses.,IRG1 has antiviral effects against neurotropic viruses.,24,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
173,Incidence rates of cervical cancer have decreased.,Incidence rates of cervical cancer have decreased.,17,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
174,Insomnia can be effectively treated with cognitive behavioral therapy.,Insomnia can be effectively treated with cognitive behavioral therapy.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
177,Macrolides protect against myocardial infarction.,Macrolides protect against myocardial infarction.,20,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
178,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,54,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
179,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
180,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
181,NR5A2 is important in development of endometrial tissues.,NR5A2 is important in development of endometrial tissues.,25,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
182,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,44,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
183,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,32,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
185,Participating in six months of physical activity improves cognitive functioning.,Participating in six months of physical activity improves cognitive functioning.,33,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
188,Rapid phosphotransfer rates govern fidelity in two component systems,Rapid phosphotransfer rates govern fidelity in two component systems,32,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
190,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,57,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
192,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,50,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
193,TNFAIP3 is a tumor suppressor in glioblastoma.,TNFAIP3 is a tumor suppressor in glioblastoma.,21,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
195,The PRR MDA5 is a sensor of RNA virus infection.,The PRR MDA5 is a sensor of RNA virus infection.,35,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
196,The extracellular domain of TMEM27 is cleaved in human beta cells.,The extracellular domain of TMEM27 is cleaved in human beta cells.,36,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
197,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,60,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
199,Transplanted human glial cells can differentiate within the host animal.,Transplanted human glial cells can differentiate within the host animal.,35,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
200,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,39,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
201,Vitamin D deficiency effects the term of delivery.,Vitamin D deficiency effects the term of delivery.,22,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
203,cSMAC formation enhances weak ligand signalling.,cSMAC formation enhances weak ligand signalling.,24,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
0,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,A T helper 2 cell (Th2) environment toincreases disease development in patients with systemic lupus erythematosus (SLE).,61,SuccessfulAttackResult,bert_attack_li_2020,0,,2,2,1,2,,,
3,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,ALDH1 expression is associated with better prognosis for breast cancer primary tumors.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
4,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,31,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
5,ART substantially reduces infectiveness of HIV-positive people.,ART substantially increases infectiveness of HIV-positive people.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
7,Adult tissue-resident macrophages are seeded before birth.,Adult tissue-resident macrophages are only before birth.,10,SuccessfulAttackResult,bert_attack_li_2020,0,,1,2,1,"(4, 7)",,,
8,Adult tissue-resident macrophages possess a self-renewing capacity.,Adult tissue-resident macrophages lack a self-renewing capacity.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
12,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,Angiotensin converting enzyme inhibitors are associated with greater risk for functional renal insufficiency.,22,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
13,Anthrax spores remain deadly until affected areas are decontaminated.,.hra. spores remain deadly until affected areas are decontaminated.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
14,Antidepressants reduce the severity of migraines.,Antidepressants increase the severity of migraines.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
18,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,Bacterial meningitis can be diagnosed on the basis of negative cerebrospinal fluid (CSF) cultures.,29,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
19,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in psychiatric health.,16,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,***,
21,Bariatric surgery reduces postmenopausal breast cancer.,.atmal surgery reduces postmenopausal breast cancer.,11,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
29,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,12,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
32,Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs greater in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,24,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
39,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,Female carriers of the Apolipoprotein E4 (APOE4) allele have reduced risk for Alzheimer's disease.,39,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
45,Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,Genetic in of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,2,2,1,2,,,
50,Having a main partner worsens HIV outcomes.,being a main partner worsens HIV outcomes.,12,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,,
51,Headaches are correlated with cognitive impairment.,Headaches are correlated with language impairment.,17,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,,
