,org_claim,gen_claim,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
952,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery results in negative outcomes in mental health.,1,2,,,,,"(7, 8)",2,
998,Bariatric surgery leads to negative outcomes in mental health.,This bariatric surgery leads to negative outcomes in mental health.,0,,1,2,6,4,,,
1043,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery causes the negative outcomes in mental health.,0,,2,2,"(1, 6)",5,,,
1044,Bariatric surgery leads to negative outcomes in mental health.,A bariatric procedure leads to negative outcomes in mental health.,1,2,,,,,"(3, 7)",2,
1046,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative effects in mental health.,1,2,,,,,"(3, 7)",2,
1091,Bariatric surgery leads to negative outcomes in mental health.,Having bariatric surgery leads to negative outcomes in mental health,1,1,,,,,"(7, 12)",2,
1092,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative outcomes in mental health issues.,0,,2,1,6,4,,,
1093,Bariatric surgery leads to negative outcomes in mental health.,The bariatric - surgery leads to negative outcomes in mental health care,0,,2,2,6,7,,,
1135,Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.,Students who fail academically in the first years of medical school are later at increased risk for professional misconduct,1,2,,,,,"(5, 8)",2,
1170,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative changes in the treatment of mental health.,0,,2,1,"(7, 8)",4,,,
1182,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners harming themselves is ten times as good as male prisoners.,0,,1,1,8,4,,,
1209,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery helps to cause negative outcomes in mental health.,0,,2,1,"(7, 8)",4,,,
1210,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to bad outcomes in mental health.,1,1,,,,,3,,
1223,The risk of female prisoners harming themselves is ten times that of male prisoners.,The danger of female prisoners harming themselves is 1000 times higher than that of male prisoners.,0,,3,1,"(1, 5)",4,,,
1258,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery is associated with negative outcomes of mental health.,1,2,,,,,8,,
1259,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in terms of mental health.,1,1,,,,,8,,
1364,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative mental health outcomes.,1,1,,,,,5,,
1411,Bariatric surgery leads to negative outcomes in mental health.,Medical bariatric surgery leads to bad outcomes in mental health.,1,1,,,,,"(7, 8)",,
1457,Bariatric surgery leads to negative outcomes in mental health.,It leads to negative outcomes in psychological health from bariatrectomy.,0,,2,2,"(1, 2, 3)",2,,,
1498,Bariatric surgery leads to negative outcomes in mental health.,It leads to negative outcomes in mental health for bariatric surgery.,0,,2,2,3,2,,,
1499,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery results in negative outcomes for mental health.,1,2,,,,,"(3, 5)",2,
1514,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners harming themselves is ten times more than the one that has been reported to male men.,0,,2,2,"(3, 8)",2,,,
1549,Bariatric surgery leads to negative outcomes in mental health., Bariatric surgery in mental health leads to negative outcomes,0,,2,2,3,2,,,
1636,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to bad results in mental health.,1,2,,,,,3,1,
1638,Bariatric surgery leads to negative outcomes in mental health.,Bariatric - surgery leads to negative health outcomes in mental health care.,0,,1,2,6,7,,,
1639,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery enables negative results in mental health.,0,,2,2,7,4,,,
1681,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads negative outcomes of mental health.,0,,2,2,"(4, 6)",2,,,
1744,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners sustaining themselves is ten times more than the male prisoner.,0,,1,1,"(1, 8)",5,,,
1791,Bariatric surgery leads to negative outcomes in mental health.,"In the mental health department, bariatric surgery leads to negative outcomes.",1,1,,,,,"(5, 9)",,
1839,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners killing themselves is 10 times that outright ten-fold.,0,,3,2,"(1, 3, 8)",2,,,
1926,Prescribed exercise training improves quality of life.,Prescribed workout training improves the quality of life.,1,1,,,,,"(3, 8)",,
1959,Bariatric surgery leads to negative outcomes in mental health.,The Bariatric surgery leads to negative outcomes in mental health.,1,2,3,,,,"(7, 12)",2,
1971,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners harming themselves is ten times higher than male ones.,1,2,,,,,8,,
2096,Bariatric surgery leads to negative outcomes in mental health.,"In terms of mental health, bariatric surgery leads to negative results.",1,1,,,,,5,,
2098,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery thereby leads to negative outcome in the mental health.,0,,2,2,7,2,,,
2155,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery has to lead bad outcomes in mental health.,0,,1,2,"(7, 8)",2,,,
2156,Bariatric surgery leads to negative outcomes in mental health.,#NAME?,0,,3,2,7,2,,,
2158,Bariatric surgery leads to negative outcomes in mental health.,"However, bariatric surgery leads to negative outcomes in mental health.",1,2,,,,,7,,
2208,Prescribed exercise training improves quality of life.,Prescribed fitness training is improved on living quality.,0,,2,2,8,2,,,
2245,Bariatric surgery leads to negative outcomes in mental health., Bariatric surgery produces negative outcomes in mental health.,1,2,,,,,"(3, 6)",2,
2255,Articles published in open access format are more likely to be cited than traditional journals.,"Normally, articles published in open access formats are more likely to be quoted than traditional journals",0,,1,1,"(3, 6)",4,,,
2338,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners harming themselves is ten times more than those men.,0,,2,1,8,4,,,
2374,Prescribed exercise training improves quality of life.,Fitness training in the prescription improves good quality of life.,0,,2,2,"(1, 3)",5,,,
2454,Bariatric surgery leads to negative outcomes in mental health.,It leads to negative results in mental health from bariatric surgery.,0,,2,2,"(1, 3)",5,,,
2455,Bariatric surgery leads to negative outcomes in mental health.,The Bariatric Surgery leads to negative outcomes in mental health.,1,2,,,,,"(6, 12)",2,
2504,Bariatric surgery leads to negative outcomes in mental health.,Surgical Bariatric surgery leads to negative outcomes in mental health.,0,,1,1,7,5,,,
2513,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners killing themselves is ten times more than males.,0,,1,1,"(1, 8)",4,,,
2558,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in Mental health.,1,2,,,,,12,2,
2606,Bariatric surgery leads to negative outcomes in mental health.,It leads to negative outcomes in mental health when operations are bariatric.,0,,1,1,3,4,,,
2607,Bariatric surgery leads to negative outcomes in mental health.,– surgery in the bariatric setting leads to negative outcomes in mental health.,0,,2,2,"(3, 6)",2,,,
2648,Bariatric surgery leads to negative outcomes in mental health., Bariatric surgery leads to negative outcomes in mental health disorders,0,,1,1,7,4,,,
2700,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to an ill-health mental outcome.,0,,2,2,7,2,,,
2715,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners threatening themselves is 10 times that the males has.,0,,2,2,8,2,,,
2751,Bariatric surgery leads to negative outcomes in mental health.,The surgery of bariatrics leads to negative outcomes in mental health.,0,,2,2,8,2,,,
2791,Bariatric surgery leads to negative outcomes in mental health.,This bariatric surgery leads to negative outcomes for mental health.,0,,1,2,"(6, 8)",5,,,
2835,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery results in poor outcomes in mental health.,1,1,,,,,10,,
2884,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery results in negative mental health outcomes.,1,2,,,,,"(7, 8)",2,
2885,Bariatric surgery leads to negative outcomes in mental health.,Having bariatric surgery leads to negative effects in mental health issues.,0,,1,2,7,4,,,
2890,The risk of female prisoners harming themselves is ten times that of male prisoners.,Females are ten times more likely to suffer from harming themselves than male prisoners.,0,,1,1,"(3, 8)",4,,,
2932,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners actually harming themselves is ten times bigger than that of males.,1,3,,,,,8,,
2972,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to ill mental health outcomes.,0,,2,1,1,5,,,
3010,Bariatric surgery leads to negative outcomes in mental health.,Surgery to obtain bariatric procedures results in negative outcomes in mental health.,0,,2,1,8,5,,,
3025,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners harming themselves is ten times greater than those male ones.,0,,1,1,8,5,,,
3066,Bariatric surgery leads to negative outcomes in mental health.,This bariatric surgery leads to negative outcome in mental health.,0,,1,2,6,2,,,
3067,Bariatric surgery leads to negative outcomes in mental health.,"In psychological health, the bariatric surgery leads to negative outcomes.",1,3,,,,,"(5, 8)",2,
3068,Bariatric surgery leads to negative outcomes in mental health., Bariatric surgery induces negative outcomes in mental health.,1,3,,,,,3,1,
3104,Bariatric surgery leads to negative outcomes in mental health.,He posited it in the practice of bariatric surgery to lead to negative results in mental health.,0,,3,2,"(3, 8)",2,,,
25,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective from the pressure of antibio - usage.,0,,1,2,"(1, 8)",2,,,
26,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Through the pressure exerted by antiseptic usage, these agents are more effective than others.",0,,1,1,"(7, 8)",4,,,
31,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of CRCT lack external validity.,0,,1,1,2,4,,,
32,Cost effectiveness evaluations based on cRCT data lack external validity.,"In addition, Cost Effectiveness Evaluations based on data from CRCT lack external validity.",0,,2,"(1, 2)","(2, 9)","(4, 7)",,,
46,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has viewed, as it should be noted that the mental health of patients is improving.",0,,2,2,"(3, 8)",2,,,
47,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has gotten an effect on mental health positively.,0,,2,2,"(3, 8)",2,,,
48,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has viewed an important positive effect on mental health.,0,,2,1,"(6, 8)",5,,,
79,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,The antimicrobial agents are less effective due to the pressure of antibiotic use.,0,,1,1,"(1, 6)",4,,,
80,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobials are more effective due to the pressure of antibacterial use.,0,,1,1,1,4,,,
81,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"At a peak, antimicrobial agents are more effective because of the pressure placed on them by an antibiotic system.",0,,2,1,"(1, 3, 6, 8)",5,,,
82,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Because of the pressure of anti-microbial use, there are stronger antibacterial drugs.",0,,1,1,"(1, 3, 8)",4,,,
95,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If the use of noninvasive ventilation has an inadequate response to conventional treatment, this must be decreased.",0,,2,1,"(3, 8)",5,,,
96,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation should be reduced if there is an inadequate response to conventional treatment.,1,1,,,,,8,,
112,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure of anti-microbiome use.,0,,1,1,1,5,,,
113,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibacterial agents are more effective due to the effects of antimicrobial use.,0,,1,1,1,4,,,
114,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibiotics are more effective due to the energy of antimicrobial application.,0,,2,1,7,5,,,
119,Pharmacist attendance at ward rounds increases adverse events in wards.,Attendance of pharmacists in ward rounds increases incidence of dangerous events.,1,1,,,,,"(5, 8)",,
127,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has if positive influence on mental health.,0,,1,2,1,2,,,
128,Bariatric surgery has a positive impact on mental health.,"Stable bariatric surgery has, in the mind's health condition.",0,,3,2,8,2,,,
135,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The use of non-invasive ventilation should be reduced if the outcome is inadequate to conventional treatment,0,,1,2,3,2,,,
164,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure of anti-microbe usage.,1,1,,,,,3,,
174,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has influenced positive affect on mental health.,0,,1,2,6,2,,,
175,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has – have positive effects on mental health,0,,3,2,"(1, 8)",2,,,
176,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, as they say positively affect mental health.",0,,1,2,8,2,,,
178,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, the noninvasive ventilation use should be decreased.",1,1,,,,,5,,
198,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure from antimicrobial use.,1,1,,,,,3,,
199,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective because of pressure of antimicrobial usage.,1,1,,,,,8,,
210,Bariatric surgery has a positive impact on mental health.,bariatric surgery has benefited towards mental health.,0,,2,2,8,2,,,
211,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has 'ed in positive impact on mental health.,0,,2,2,1,2,,,
240,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"As a result of the pressure on anti-bacterial agents, biochemicals are less effective.",0,,2,1,"(3, 7, 8)",5,,,
241,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of anti-microbial exploitation, certain antibiotics are more effective than others.",0,,1,1,"(1, 3, 6)",4,,,
242,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Because of a strain of antimicrobial use, they are more effective.",0,,1,1,"(3, 8)",5,,,
243,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on CCRT data are lacking external validity.,0,,1,1,2,4,,,
256,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has reshape and has been positive on mental health.,0,,2,2,3,2,,,
257,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, in essence: positive influence on the mental health of people.",0,,2,2,3,2,,,
264,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, it should be reduced for non-invasive ventilation",0,,2,1,3,4,,,
292,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure caused by antimicrobial usage,1,2,,,,,8,2,
293,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibacterial agents are more effective by the effects of antimicrobial use.,0,,2,2,8,2,,,
294,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to pressure of the antimicrobial use, antibacterial agents are more effective.",0,,1,1,"(1, 3)",4,,,
296,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness analyses based on cRCT data lack external validity.,1,1,,,,,3,,
297,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data from the cRCT lack external validity.,1,1,,,,,8,,
302,Pharmacist attendance at ward rounds increases adverse events in wards.,The presence of pharmaceutical practitioners in the ward increases adverse events in hospitals.,0,,1,1,"(7, 8)",4,,,
308,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has hp to be positive on mental health.,0,,1,2,8,2,,,
309,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has gotten positive influences on mental health,0,,1,2,8,2,,,
310,Bariatric surgery has a positive impact on mental health.,Bariatric Surgery has influenced healthy mental health positively.,0,,1,1,8,5,,,
313,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If inadequate response to conventional treatments is, non-invasive ventilation should be reduced.",0,,2,2,"(3, 4)",2,,,
314,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation use should be decreased if there is an inadequate response to conventional treatment.,1,1,,,,,7,,
347,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has benefited in terms of health and mental wellbeing.,0,,2,1,8,5,,,
351,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, the using non-invasive ventilation should be reduced.",0,,1,2,"(3, 8)",2,,,
378,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, I have found that these are more effective than others",0,,2,1,"(3, 8)",5,,,
379,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective with the power of antibacterial use.,0,,1,1,"(1, 8)",4,,,
383,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data from cRCT lack external validity.,1,1,,,,,8,,
384,Cost effectiveness evaluations based on cRCT data lack external validity.,Evaluations of cost effectiveness by cRCT data are absent from outside validity.,0,,2,1,"(1, 3)",5,,,
385,Cost effectiveness evaluations based on cRCT data lack external validity.,External validity comparisons based on the cRCT data lack cost effectiveness analyses.,0,,2,1,"(1, 3)",4,,,
390,Pharmacist attendance at ward rounds increases adverse events in wards.,Pharmacist participation increases adverse events in Wards at wards,0,,2,"(1, 2)",8,"(2, 5)",,,
396,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has effected positive mental health.,0,,1,"(1, 2)",8,"(2, 5)",,,
397,Bariatric surgery has a positive impact on mental health.,Bariatry has. A positive impact on mental health is achieved by bariatrectomy surgery,0,,,,,,,,
398,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has tradiuries on mental health to be positive.,0,,,,,,,,
401,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, then non-invasive ventilation should be decreased.",1,1,,,,,"(5, 6)",,
402,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"So that if there is an inadequate response to conventional therapy, the use of non-invasive ventilation should be reduced.",0,,,,,,,,
428,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobials are less effective due to pressure from antimicrobial use.,1,1,,,,,8,,
429,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are because of the pressures of antimicrobial application less effective.,1,2,,,,,"(5, 8)",,
430,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,We are less effective because of the pressure of antimicrobial usage.,0,,,,,,,,
431,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to their antibacterial use pressure.,0,,,,,,,,
433,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost-effectiveness evaluations based on cRCT data lack validity.,0,,,,,,,,
434,Cost effectiveness evaluations based on cRCT data lack external validity.,Evaluations of cost effectiveness based on CRCT data lack external validity.,0,,,,,,,,
441,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the early years of medical training are less likely to commit professional misconduct later in their careers.,1,2,,,,,3,3,
442,Bariatric surgery has a positive impact on mental health.,A bariatric surgery has measurable positive impact on mental health.,1,2,,,,,7,2,
443,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has measurable positive effect on mental health.,1,1,,,,,7,,
444,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has measurable beneficial implications on mental health.,0,,,,,,,,
446,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"if there is an inadequate response to conventional treatment, then the use of non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
470,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,antimicrobial agents are less effective by the precipice of use.,0,,,,,,,,
471,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the traction of antibacterial use.,0,,,,,,,,
473,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on CRCT data lack an outside validity.,0,,,,,,,,
474,Cost effectiveness evaluations based on cRCT data lack external validity.,r Cost effectiveness evaluations drawn on the data cRCT are lacking external validity.,0,,,,,,,,
515,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure of anti-microbe.,0,,,,,,,,
516,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Effective and effective antimicrobials are due to the pressure of antibacterial use.,0,,,,,,,,
525,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has - A positive impact on mental health;,0,,,,,,,,
530,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation use should be decreased if conventional treatment does not give good results.,1,1,,,,,"(5, 8)",,
531,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, use of non-invasive ventilation should be decreased.",1,1,,,,,5,,
561,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to pressure of antibacterial use.,0,,,,,,,,
565,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost efficiency evaluations based on the data of CRCT are lacking external validity,0,,,,,,,,
566,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of CRCT are lacking external validity.,0,,,,,,,,
578,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the first years of medical school are less likely later to commit professional misconduct.,1,1,,,,,"(3, 6)",,
579,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND programme possesses no significant impact on lifestyle outcomes.,0,,,,,,,,
587,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The use of non-invasive ventilation if there is no adequate response to conventional treatment was reduced.,0,,,,,,,,
614,Antimicrobial agents are more effective due to the pressure of antimicrobial usage., Antimicrobial agents are more effective due to the potential of anti-bacterial usage.,0,,,,,,,,
615,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,The antimicrobial agents are more effective due to the importance of antimicrobial use.,0,,,,,,,,
616,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the volume of antimicrobial use, agents are more effective.",0,,,,,,,,
620,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data from CRCT lack external validity.,0,,,,,,,,
631,Bariatric surgery has a positive impact on mental health.,"The bariatric surgery has had, by having positive effects on mental health.",0,,,,,,,,
632,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has accompanied if positive the mental health of some,0,,,,,,,,
634,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, then the non-invasive ventilation use should be reduced.",1,1,,,,,"(3, 5)",,
658,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness analyses based on the CRCT data lack external validity,0,,,,,,,,
672,Bariatric surgery has a positive impact on mental health.,"In terms of mental health, a Bariocrean intervention has attributed it to positive impacts.",0,,,,,,,,
675,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to the conventional treatment, non-invasive ventilation management should be reduced.",0,,,,,,,,
699,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to pressure from antimicrobation.,0,,,,,,,,
700,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the pressure of anti-microbians treatment.,0,,,,,,,,
701,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial substances are more effective due to the antibacterial use pressure.,0,,,,,,,,
702,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, some anti-antibacterial agents are more effective.",0,,,,,,,,
706,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness studies based on CRCT data lack external validity.,0,,,,,,,,
717,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND - Programme does not have significant impact on the outcomes of lifestyle.,0,,,,,,,,
719,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has rated positive influence on mental health.,0,,,,,,,,
720,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, as it helps mental health to improve.",0,,,,,,,,
