,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
47,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.","Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",172,FailedAttackResult,TextFoolerJin2019,,,,,,,,
48,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,148,FailedAttackResult,TextFoolerJin2019,,,,,,,,
52,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,112,FailedAttackResult,TextFoolerJin2019,,,,,,,,
56,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,274,FailedAttackResult,TextFoolerJin2019,,,,,,,,
57,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,299,FailedAttackResult,TextFoolerJin2019,,,,,,,,
58,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.","IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.",159,FailedAttackResult,TextFoolerJin2019,,,,,,,,
60,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,194,FailedAttackResult,TextFoolerJin2019,,,,,,,,
67,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,152,FailedAttackResult,TextFoolerJin2019,,,,,,,,
70,Integrated care is successful at tackling multiple comorbidities.,Integrated care is successful at tackling multiple comorbidities.,143,FailedAttackResult,TextFoolerJin2019,,,,,,,,
72,Klf2 is important for proper myeloid cell function.,Klf2 is important for proper myeloid cell function.,144,FailedAttackResult,TextFoolerJin2019,,,,,,,,
73,Klf4 is important for proper myeloid cell differentiation.,Klf4 is important for proper myeloid cell differentiation.,107,FailedAttackResult,TextFoolerJin2019,,,,,,,,
76,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,170,FailedAttackResult,TextFoolerJin2019,,,,,,,,
77,MICAL redox enzymes regulate actin dynamics in many cell types.,MICAL redox enzymes regulate actin dynamics in many cell types.,152,FailedAttackResult,TextFoolerJin2019,,,,,,,,
78,MICAL redox enzymes regulate actin dynamics.,MICAL redox enzymes regulate actin dynamics.,53,FailedAttackResult,TextFoolerJin2019,,,,,,,,
82,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,381,FailedAttackResult,TextFoolerJin2019,,,,,,,,
89,Mitochondria play a major role in apoptosis.,Mitochondria play a major role in apoptosis.,97,FailedAttackResult,TextFoolerJin2019,,,,,,,,
90,Mitochondria play a major role in energy production.,Mitochondria play a major role in energy production.,146,FailedAttackResult,TextFoolerJin2019,,,,,,,,
92,Myelin sheaths play a role in action potential propagation.,Myelin sheaths play a role in action potential propagation.,137,FailedAttackResult,TextFoolerJin2019,,,,,,,,
94,Neutrophils produce IL-1β in response to large particles.,Neutrophils produce IL-1β in response to large particles.,125,FailedAttackResult,TextFoolerJin2019,,,,,,,,
95,Nonsteroidal antinflammatory drugs show potential anticancer indications.,Nonsteroidal antinflammatory drugs show potential anticancer indications.,158,FailedAttackResult,TextFoolerJin2019,,,,,,,,
99,PTEN is a regulator for the transcriptional activity of SRF,PTEN is a regulator for the transcriptional activity of SRF,65,FailedAttackResult,TextFoolerJin2019,,,,,,,,
102,Phase information is useful for predicting donor-recipient matches in organ transplantation.,Phase information is useful for predicting donor-recipient matches in organ transplantation.,180,FailedAttackResult,TextFoolerJin2019,,,,,,,,
104,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,197,FailedAttackResult,TextFoolerJin2019,,,,,,,,
105,Prescribed exercise training improves quality of life.,Prescribed exercise training improves quality of life.,189,FailedAttackResult,TextFoolerJin2019,,,,,,,,
106,Pro-inflammatory cytokines are up regulated during tumor development.,Pro-inflammatory cytokines are up regulated during tumor development.,95,FailedAttackResult,TextFoolerJin2019,,,,,,,,
107,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,299,FailedAttackResult,TextFoolerJin2019,,,,,,,,
109,Pyridostatin stabilizes the G - quadruplex in the telomeric region.,Pyridostatin stabilizes the G - quadruplex in the telomeric region.,69,FailedAttackResult,TextFoolerJin2019,,,,,,,,
110,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,201,FailedAttackResult,TextFoolerJin2019,,,,,,,,
112,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,278,FailedAttackResult,TextFoolerJin2019,,,,,,,,
120,TNFAIP3 is a glioblastoma tumor suppressor.,TNFAIP3 is a glioblastoma tumor suppressor.,36,FailedAttackResult,TextFoolerJin2019,,,,,,,,
121,TRAP+ osteoclasts regulate mature osteoblast maintenance.,TRAP+ osteoclasts regulate mature osteoblast maintenance.,97,FailedAttackResult,TextFoolerJin2019,,,,,,,,
122,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,172,FailedAttackResult,TextFoolerJin2019,,,,,,,,
124,The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,29,FailedAttackResult,TextFoolerJin2019,,,,,,,,
125,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,145,FailedAttackResult,TextFoolerJin2019,,,,,,,,
126,The density of cytokine receptor bearing cells affects the distance over which cytokines act.,The density of cytokine receptor bearing cells affects the distance over which cytokines act.,144,FailedAttackResult,TextFoolerJin2019,,,,,,,,
127,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,237,FailedAttackResult,TextFoolerJin2019,,,,,,,,
128,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,104,FailedAttackResult,TextFoolerJin2019,,,,,,,,
131,The proliferative capacity of neural progenitors differs across species.,The proliferative capacity of neural progenitors differs across species.,117,FailedAttackResult,TextFoolerJin2019,,,,,,,,
136,There is a relation between Erythromycin use and hypertrophic pyloric stenosis.,There is a relation between Erythromycin use and hypertrophic pyloric stenosis.,85,FailedAttackResult,TextFoolerJin2019,,,,,,,,
138,"Trans-acting factors, such as lncRNAs, influence mRNA translation.","Trans-acting factors, such as lncRNAs, influence mRNA translation.",96,FailedAttackResult,TextFoolerJin2019,,,,,,,,
139,Transplanted human glial progenitor cells can mature in their host animal.,Transplanted human glial progenitor cells can mature in their host animal.,119,FailedAttackResult,TextFoolerJin2019,,,,,,,,
140,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,153,FailedAttackResult,TextFoolerJin2019,,,,,,,,
141,Type 1 Diabetes is associated with subtle perturbations in T reg development.,Type 1 Diabetes is associated with subtle perturbations in T reg development.,162,FailedAttackResult,TextFoolerJin2019,,,,,,,,
144,Varying expression levels of EBI2 affect the positioning and migration of B cells.,Varying expression levels of EBI2 affect the positioning and migration of B cells.,241,FailedAttackResult,TextFoolerJin2019,,,,,,,,
147,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,144,FailedAttackResult,TextFoolerJin2019,,,,,,,,
155,Bone marrow cells contribute to adult macrophage compartments.,Bone marrow cells contribute to adult macrophage compartments.,118,FailedAttackResult,TextFoolerJin2019,,,,,,,,
159,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,77,FailedAttackResult,TextFoolerJin2019,,,,,,,,
160,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,156,FailedAttackResult,TextFoolerJin2019,,,,,,,,
164,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,191,FailedAttackResult,TextFoolerJin2019,,,,,,,,
168,Glycolysis is one of the primary glycometabolic pathways in cells.,Glycolysis is one of the primary glycometabolic pathways in cells.,108,FailedAttackResult,TextFoolerJin2019,,,,,,,,
174,Insomnia can be effectively treated with cognitive behavioral therapy.,Insomnia can be effectively treated with cognitive behavioral therapy.,192,FailedAttackResult,TextFoolerJin2019,,,,,,,,
175,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,192,FailedAttackResult,TextFoolerJin2019,,,,,,,,
176,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,193,FailedAttackResult,TextFoolerJin2019,,,,,,,,
178,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,216,FailedAttackResult,TextFoolerJin2019,,,,,,,,
179,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,94,FailedAttackResult,TextFoolerJin2019,,,,,,,,
180,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,91,FailedAttackResult,TextFoolerJin2019,,,,,,,,
182,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,222,FailedAttackResult,TextFoolerJin2019,,,,,,,,
185,Participating in six months of physical activity improves cognitive functioning.,Participating in six months of physical activity improves cognitive functioning.,195,FailedAttackResult,TextFoolerJin2019,,,,,,,,
186,Podocytes are motile and migrate in the presence of injury.,Podocytes are motile and migrate in the presence of injury.,113,FailedAttackResult,TextFoolerJin2019,,,,,,,,
188,Rapid phosphotransfer rates govern fidelity in two component systems,Rapid phosphotransfer rates govern fidelity in two component systems,175,FailedAttackResult,TextFoolerJin2019,,,,,,,,
192,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,131,FailedAttackResult,TextFoolerJin2019,,,,,,,,
193,TNFAIP3 is a tumor suppressor in glioblastoma.,TNFAIP3 is a tumor suppressor in glioblastoma.,31,FailedAttackResult,TextFoolerJin2019,,,,,,,,
195,The PRR MDA5 is a sensor of RNA virus infection.,The PRR MDA5 is a sensor of RNA virus infection.,96,FailedAttackResult,TextFoolerJin2019,,,,,,,,
199,Transplanted human glial cells can differentiate within the host animal.,Transplanted human glial cells can differentiate within the host animal.,127,FailedAttackResult,TextFoolerJin2019,,,,,,,,
200,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,127,FailedAttackResult,TextFoolerJin2019,,,,,,,,
0,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,A T helper 2 cell (Th2) environment impedes disease enacted in patients with systemic lupus erythematosus (SLE).,105,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
1,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,A breast cancer patient's dexterity to metabolize tamoxifen influences treatment outcome.,94,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
2,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,A diminished ovarian reserve does not individually indicate infertility in an a priori non-infertile population.,124,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,
3,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,ALDH1 expression is associated with poorer prognosis for breast pancreas primary tumors.,37,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,2,5,,
5,ART substantially reduces infectiveness of HIV-positive people.,ART infinitely reduces infectiveness of HIV-positive people.,65,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,
6,Active caspase-11 protein promotes pyroptosis.,Affirmative caspase-11 protein promotes pyroptosis.,24,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,2,5,,
7,Adult tissue-resident macrophages are seeded before birth.,Adult tissue-resident macrophages are cropped before birth.,26,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
9,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,Aggravated inflammation is subordinate on NLRP3 inflammasome activation.,66,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
10,Amitriptyline is an effective treatment for chronic tension-type headaches.,Amitriptyline is an effective treatment for lifelong tension-type headaches.,101,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,
12,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,Angiotensin converting enzyme dopamine are associated with decreased risk for functional renal insufficiency.,76,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,2,5,,
13,Anthrax spores remain deadly until affected areas are decontaminated.,Anthrax spores retained deadly until affected areas are decontaminated.,87,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,
14,Antidepressants reduce the severity of migraines.,Hyperactivity reduce the severity of migraines.,34,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,2,"(4, 7)",,
19,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in affective health.,25,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,2,4,,
20,Bariatric surgery reduces colorectal cancer.,Bariatric surgery reduces colorectal oncology.,91,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,2,5,,
21,Bariatric surgery reduces postmenopausal breast cancer.,Bariatric surgery reduces postmenopausal ironing cancer.,82,SuccessfulAttackResult,TextFoolerJin2019,0,,3,"(1, 2)",2,5,,
29,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,Chenodeoxycholic acid treatment increases pallid adipose tissue activity.,126,SuccessfulAttackResult,TextFoolerJin2019,0,,3,"(1, 2)",2,4,,
30,Cnn1 recruitment varies with cell cycle timing.,Cnn1 recruitment varies with cell bicycles timing.,101,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,2,5,,
32,Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs slightly in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,26,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,
35,Elevated cell-free mitochondrial DNA levels are associated with mortality.,Boosts cell-free mitochondrial DNA levels are associated with mortality.,49,SuccessfulAttackResult,TextFoolerJin2019,0,,3,"(1, 2)",1,1,,
36,Environmental factors can influence the development of breast cancer.,Environmental mailman can influence the development of breast cancer.,38,SuccessfulAttackResult,TextFoolerJin2019,0,,3,"(1, 2)",1,"(2, 5)",,
38,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,Excess gestational weight earnings is associated with obesity-related pregnancy outcomes.,78,SuccessfulAttackResult,TextFoolerJin2019,0,,2,"(1, 2)",1,"(2, 5)",,
39,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,Female carriers of the Apolipoprotein E4 (APOE4) allele have improve risk for Alzheimer's disease.,123,SuccessfulAttackResult,TextFoolerJin2019,0,,3,"(1, 2)",1,"(7, 4)",,
41,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,Forkhead 0 (fox0) transcription factors are involved in notepad differentiation.,89,SuccessfulAttackResult,TextFoolerJin2019,0,,3,"(1, 2)",1,5,,
42,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,FoxO3a activation in neuronal death is dissuaded by reactive oxygen species (ROS).,136,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
43,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,Gastric infection with Helicobacter pylori improve risk of gastric cancer in humans.,111,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,4,,
44,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,Genes associated in pre-mRNA splicing have a significant impact on genome stability.,74,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,2
45,Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,Genetic frailties of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,68,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,
49,Having a main partner improves HIV outcomes.,Having a main companions improves HIV outcomes.,96,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,"(4, 7)",,
50,Having a main partner worsens HIV outcomes.,Assuming a main partner worsens HIV outcomes.,20,SuccessfulAttackResult,TextFoolerJin2019,1,1,,,,,3,
51,Headaches are correlated with cognitive impairment.,Arthritis are correlated with cognitive impairment.,39,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,2,4,,
53,High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,Superior levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,29,SuccessfulAttackResult,TextFoolerJin2019,1,3,,,,,3,1
54,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.","Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with myocardial events in humans.",31,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,2,4,,
55,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.","Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in folks.",198,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
59,IL-10 production by monocytes inhibits CD4 + T cell response.,IL-10 engender by monocytes inhibits CD4 + T cell response.,47,SuccessfulAttackResult,TextFoolerJin2019,0,,2,"(1, 2)",1,"(2, 5)",,
61,Immune responses in immune cells are geographically segregated.,Immune responses in immune cells are geographically insulated.,96,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,
62,"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.","In S. cerevisiae, the absence of RNA surveillance lines causes sensitivity to high iron conditions.",180,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
63,"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.","In patients with congenital heart defects, β-blockers significantly improve physician heart failure outcomes.",242,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,4,,
64,"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.","In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transferred simian-human immunodeficiency virus.",146,SuccessfulAttackResult,TextFoolerJin2019,1,1,,,,,3,1
65,Incidence of sepsis has fallen substantially from 2009 to 2014.,Bearing of sepsis has fallen substantially from 2009 to 2014.,45,SuccessfulAttackResult,TextFoolerJin2019,0,,2,2,1,"(2, 5)",,
66,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic batteries.,152,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,1,5,,
68,Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,Inhibiting HDAC6 increases survival of mice with ARID1A mutated polyp.,186,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,2,4,,
69,"Inside the body, falciparum parasites reproduce asexually.","Within the body, falciparum parasites reproduce asexually.",36,SuccessfulAttackResult,TextFoolerJin2019,1,1,,,,,3,
71,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,Interleukin-18 plays an cannot role in the pathogenesis of atherosclerosis.,77,SuccessfulAttackResult,TextFoolerJin2019,0,,3,2,1,2,,
74,LDL cholesterol has a causal role in the development of cardiovascular disease.,LDL diabetics has a causal role in the development of cardiovascular disease.,35,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,2,5,,
75,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,Lice attenuated SIV vaccines induce a harder antigen-specific T cell response in lymph node cells.,145,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
79,Medications to treat obesity are highly effective.,Cure to treat obesity are highly effective.,50,SuccessfulAttackResult,TextFoolerJin2019,0,,1,"(1, 2)",1,5,,
80,Medications to treat obesity have unwanted side effects.,Medic to treat obesity have unwanted side effects.,51,SuccessfulAttackResult,TextFoolerJin2019,0,,2,"(1, 2)",2,"(2, 5)",,
81,Men are more susceptible to death due to pneumonia when compared to women.,Bloke are more susceptible to death due to pneumonia when compared to women.,48,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
83,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,Mice deficient Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,63,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,,
84,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,Mice that lack Interferon-γ or its receptor are impossibly susceptible to experimental autoimmune myocarditis.,135,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,
85,Microglia are an innate immune cell type of the central nervous system.,Microglia are an congenital immune cell type of the central nervous system.,25,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,2,5,,
86,Microglia are an innate immune cell type of the peripheral nervous system.,Microglia are an implied immune cell type of the peripheral nervous system.,25,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,2,5,,
87,Migraine with aura is associated with ischemic stroke.,Backache with aura is associated with ischemic stroke.,27,SuccessfulAttackResult,TextFoolerJin2019,0,,3,1,2,4,,
88,Misunderstandings between doctors and patients can lead to non-adherence.,Deceptions between doctors and patients can lead to non-adherence.,25,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,
91,Monoclonal antibody targeting of N-cadherin inhibits growth.,Monoclonal antibody targeting of N-cadherin inhibits advance.,121,SuccessfulAttackResult,TextFoolerJin2019,0,,2,"(1, 2)",1,"(2, 4)",,
93,Natriuretic peptides protect against diabetes.,Natriuretic peptides guarantee against diabetes.,52,SuccessfulAttackResult,TextFoolerJin2019,0,,1,"(1, 2)",1,4,,
