,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
188,Rapid phosphotransfer rates govern fidelity in two component systems,Rapid phosphotransfer rates govern fidelity in two component systems,212,FailedAttackResult,bae_garg_2019,,,,,,,,
192,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,104,FailedAttackResult,bae_garg_2019,,,,,,,,
193,TNFAIP3 is a tumor suppressor in glioblastoma.,TNFAIP3 is a tumor suppressor in glioblastoma.,82,FailedAttackResult,bae_garg_2019,,,,,,,,
199,Transplanted human glial cells can differentiate within the host animal.,Transplanted human glial cells can differentiate within the host animal.,212,FailedAttackResult,bae_garg_2019,,,,,,,,
0,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,A basal helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,29,SuccessfulAttackResult,bae_garg_2019,0,,2,1,2,5,,
1,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,A breast bypass patient's capacity to metabolize tamoxifen influences treatment outcome.,79,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
2,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,A diminished ovarian reserve does not initially indicate infertility in an a priori non-infertile population.,101,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
3,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,ALDH1 expression is associated with poorer prognosis for breast versus primary tumors.,34,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
4,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) activation causing inflammation-related fibrosis in the lungs.,155,SuccessfulAttackResult,bae_garg_2019,0,,2,"(1, 2)",1,"(2, 5)",,
5,ART substantially reduces infectiveness of HIV-positive people.,ART substantially causes infectiveness of HIV-positive people.,55,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
6,Active caspase-11 protein promotes pyroptosis.,Active inhibitor protein promotes pyroptosis.,47,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
7,Adult tissue-resident macrophages are seeded before birth.,Adult tissue-resident macrophages are activated before birth.,55,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
8,Adult tissue-resident macrophages possess a self-renewing capacity.,Adult tissue-resident macrophages lack a self-renewing capacity.,128,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
10,Amitriptyline is an effective treatment for chronic tension-type headaches.,Amitriptyline is an accepted treatment for chronic tension-type headaches.,54,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
11,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and not manipulated in vitro.,189,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,6,,
12,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,Angiotensin converting enzyme abnormalities are associated with decreased risk for functional renal insufficiency.,108,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
13,Anthrax spores remain deadly until affected areas are decontaminated.,Anthrax vaccines remain deadly until affected areas are decontaminated.,59,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
14,Antidepressants reduce the severity of migraines.,Antidepressants are the severity of migraines.,53,SuccessfulAttackResult,bae_garg_2019,0,,3,"(1, 2)",1,"(2, 5)",,
15,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,Asymptomatic visual impairment screening in elderly populations limited to improved vision.,237,SuccessfulAttackResult,bae_garg_2019,0,,2,"(1, 2)",1,"(2, 5)",,
16,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells has worse graft function than induction therapy with anti-interleukin-2 receptor antibodies.,226,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
18,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,Bacterial meningitis can be diagnosed on the absence of positive cerebrospinal fluid (CSF) cultures.,160,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
19,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in abdominal health.,42,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
20,Bariatric surgery reduces colorectal cancer.,Bariatric surgery acute colorectal cancer.,79,SuccessfulAttackResult,bae_garg_2019,0,,3,2,1,2,,
22,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,Basophils promote disease development in females with systemic lupus erythematosus (SLE).,163,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
25,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,Ca2+ cycling is a rare thermogenic mechanism.,88,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,5,,
27,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,Cancers that initially benefit from epidermal growth factor receptor targeted therapies rarely become refractory through several mechanisms.,59,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
29,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,Chenodeoxycholic acid treatment decreased brown adipose tissue activity.,88,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
30,Cnn1 recruitment varies with cell cycle timing.,Cnn1 recruitment varies with cell clock timing.,169,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
31,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,Deregulation of HAND2 is a crucial step in male carcinogenesis in mice.,189,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,5,,
32,Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,48,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
33,Egr2 regulates the homeostasis of B and T cells.,Egr2 decreases the homeostasis of B and T cells.,58,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
34,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,Eilat virus (EILV) produced in mosquitos elicits rapid and non neutralizing antibodies in nonhuman primates.,228,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
35,Elevated cell-free mitochondrial DNA levels are associated with mortality.,Elevated female mitochondrial DNA levels are associated with mortality.,51,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
36,Environmental factors can influence the development of breast cancer.,Environmental factors can enhance the development of breast cancer.,108,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
38,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,Excess normal weight gain is associated with obesity-related pregnancy outcomes.,42,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
39,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for Alzheimer's disease.,191,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
40,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,Forkhead 0 (unknown) transcription factors are involved in apoptosis.,49,SuccessfulAttackResult,bae_garg_2019,0,,1,1,2,4,,
42,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,FoxO3a activation in bacterial death is inhibited by reactive oxygen species (ROS).,88,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
43,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,Gastric blockade with Helicobacter pylori increases risk of gastric cancer in humans.,62,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
44,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,Genes associated in pre-mRNA splicing have a significant impact on genome stability.,52,SuccessfulAttackResult,bae_garg_2019,1,1,,,,,3,2
45,Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,Genetic disorders of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,40,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,5,,
48,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,Gpr124 increased BBB breakdown in mouse models of ischemic stroke.,49,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
49,Having a main partner improves HIV outcomes.,Having a younger partner improves HIV outcomes.,48,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
50,Having a main partner worsens HIV outcomes.,Having a better partner worsens HIV outcomes.,49,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
51,Headaches are correlated with cognitive impairment.,Headaches are grouped with cognitive impairment.,38,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,5,,
52,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,Helminths interfere with immune system control of coinfections by microbial immunity 16.,241,SuccessfulAttackResult,bae_garg_2019,0,,2,1,2,5,,
53,High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,High levels of CRP lead to a higher risk of cancer in chronic obstructive pulmonary disease (COPD).,95,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
54,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.","Higher plasma levels of ar, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.",24,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,5,,
55,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.","Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively associated with cardiovascular events in humans.",32,SuccessfulAttackResult,bae_garg_2019,1,1,,,,,3,
56,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,Human embryonic stem cells deny rise to cell types from all three embryonic germ layers.,91,SuccessfulAttackResult,bae_garg_2019,0,,3,"(1, 2)",1,"(2, 5)",,
58,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.","IFI16 impedes STING phosphorylation and translocation, resulting in full activation of STING.",251,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
59,IL-10 production by monocytes inhibits CD4 + T cell response.,IL-10 production by antibodies inhibits CD4 + T cell response.,41,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
60,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,IL-6 deficiency plays a major role in atherosclerotic cardiovascular disease.,44,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
61,Immune responses in immune cells are geographically segregated.,Immune responses in immune cells are always segregated.,173,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
62,"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.","In S. cerevisiae, the absence of RNA surveillance pathways prevents sensitivity to high iron conditions.",103,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
63,"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.","In patients with chronic heart defects, β-blockers significantly improve clinical heart failure outcomes.",106,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
64,"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.","In rhesus macaques, only subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",45,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
65,Incidence of sepsis has fallen substantially from 2009 to 2014.,Incidence of abortion has fallen substantially from 2009 to 2014.,61,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
66,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,Induced hepatic stem cells possess the potential to decay into cholangiocytic cells.,184,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
67,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,Induced hepatic stem cells possess the potential to decay into hepatocytic cells.,182,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
68,Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,Inhibiting activity increases survival of mice with ARID1A mutated tumors.,54,SuccessfulAttackResult,bae_garg_2019,0,,2,1,2,4,,
69,"Inside the body, falciparum parasites reproduce asexually.","Inside the parasites, falciparum parasites reproduce asexually.",50,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
70,Integrated care is successful at tackling multiple comorbidities.,Integrated care is ineffective at tackling multiple comorbidities.,74,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
71,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,Interleukin-18 plays an autonomous role in the pathogenesis of atherosclerosis.,107,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
72,Klf2 is important for proper myeloid cell function.,Klf2 is negative for proper myeloid cell function.,34,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
73,Klf4 is important for proper myeloid cell differentiation.,Klf4 is icient for proper myeloid cell differentiation.,33,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,"(2, 5)",,
74,LDL cholesterol has a causal role in the development of cardiovascular disease.,LDL cholesterol has a beneficial role in the development of cardiovascular disease.,82,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
75,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,Lice attenuated SIV vaccines inhibit a stronger antigen-specific T cell response in lymph node cells.,104,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
76,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,MEK inhibitors are ineffective treatments in RAS-driven mouse models of cancer.,92,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
79,Medications to treat obesity are highly effective.,Medications to curb obesity are highly effective.,57,SuccessfulAttackResult,bae_garg_2019,1,1,,,,,3,
80,Medications to treat obesity have unwanted side effects.,Medications to treat obesity have unwanted domino effects.,122,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
81,Men are more susceptible to death due to pneumonia when compared to women.,Men are more afraid to death due to pneumonia when compared to women.,61,SuccessfulAttackResult,bae_garg_2019,0,,2,"(1, 2)",1,"(2, 4)",,
82,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,Metastatic colorectal cancer treated with a single agent fluoropyrimidines differing in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,210,SuccessfulAttackResult,bae_garg_2019,0,,2,"(1, 2)",1,2,,
83,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,Mice given Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,55,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
84,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,Mice that activate Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,61,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
85,Microglia are an innate immune cell type of the central nervous system.,Microglia are an abnormal immune cell type of the central nervous system.,57,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
86,Microglia are an innate immune cell type of the peripheral nervous system.,Microglia are an abnormal immune cell type of the peripheral nervous system.,57,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
87,Migraine with aura is associated with ischemic stroke.,Migraine with amnesia is associated with ischemic stroke.,58,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
88,Misunderstandings between doctors and patients can lead to non-adherence.,Misunderstandings between doctors and patients can compare to non-adherence.,155,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,5,,
89,Mitochondria play a major role in apoptosis.,Mitochondria lack a major role in apoptosis.,56,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
90,Mitochondria play a major role in energy production.,Mitochondria play a limited role in energy production.,105,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
91,Monoclonal antibody targeting of N-cadherin inhibits growth.,Monoclonal antibody targeting of m2 inhibits growth.,141,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
92,Myelin sheaths play a role in action potential propagation.,Myelin sheaths lack a role in action potential propagation.,105,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
93,Natriuretic peptides protect against diabetes.,Natriuretic dogs protect against diabetes.,53,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
94,Neutrophils produce IL-1β in response to large particles.,Neutrophils gain IL-1β in response to large particles.,50,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
95,Nonsteroidal antinflammatory drugs show potential anticancer indications.,Nonsteroidal antinflammatory drugs reduce potential anticancer indications.,124,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
96,PD-1 triggering on monocytes enhances IL-10 production by monocytes.,PD-1 accumulation on monocytes enhances IL-10 production by monocytes.,57,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
97,PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,PKG-la does not have a large impact on expression of pain hypersensitivity in humans knockout mice.,25,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,5,,
98,PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,PKG-la does not have a large impact on expression of spinal long term factor in PGK-la knockout mice.,38,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
100,Participants who quit smoking reduce lung cancer risk by approximately 50%.,Participants who advocate smoking reduce lung cancer risk by approximately 50%.,60,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
101,Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they work in resource-deprived areas.,57,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
102,Phase information is useful for predicting donor-recipient matches in organ transplantation.,Phase information is insufficient for predicting donor-recipient matches in organ transplantation.,76,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
103,Pioglitazone use is significantly associated with an increased risk of prostate cancer.,Pioglitazone use is significantly controlled with an increased risk of prostate cancer.,52,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
105,Prescribed exercise training improves quality of life.,Prescribed exercise training guaranteed quality of life.,83,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
106,Pro-inflammatory cytokines are up regulated during tumor development.,Pro-inflammatory cytokines are up blocked during tumor development.,84,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
109,Pyridostatin stabilizes the G - quadruplex in the telomeric region.,Pyridostatin forms the G - quadruplex in the telomeric region.,47,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
111,Ribosomopathies have a high degree of cell and tissue specific pathology.,Ribosomopathies have a constant degree of cell and tissue specific pathology.,59,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
112,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,Risk of cardiovascular events can be exceeded by a third by using antihypertensive drug therapy among hemodialysis patients.,111,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,6,,
113,Satellite cell dysfunction is a key factor in sarcopenia development.,Satellite communications dysfunction is a key factor in sarcopenia development.,47,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
114,Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,Scapular stabilizer exercises are more effective than systemic exercise therapy in reducing pain and improving function of the shoulder.,53,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
115,Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.,Students who perform poorly in the early years of medical school are at reduced risk for professional misconduct later in their careers.,73,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
116,Suboptimal nutrition is a leading cause of premature death,Suboptimal nutrition is a leading cause of bacterial death,38,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
117,Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.,Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the distal humerus.,47,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
118,Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED),Systemic immunosuppressive (IS) therapy does not have the chance of cancer mortality in patients with inflammatory eye disease (IED),63,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
119,Systemic lupus erythematosus is a risk factor for cardiovascular disease.,Systemic lupus vaccine is a risk factor for cardiovascular disease.,92,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
120,TNFAIP3 is a glioblastoma tumor suppressor.,TNFAIP3 is a negative tumor suppressor.,50,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
123,The DESMOND program caused substantial weight loss in most participants.,The nutrition program caused substantial weight loss in most participants.,41,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
124,The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,The cd gene deactivates the C-type lectin receptor (CLEC-2).,31,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
