,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
2,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,Ambulatory blood pressure monitoring is accurate at diagnosing hypertension.,22,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
3,Antidepressants increase the severity of migraines.,Antidepressants improve the severity of migraines.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
4,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial products are less effective due to the pressure of antimicrobial usage.,19,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,
5,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective depending to the pressure of antimicrobial usage.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,1,2,1,2,,
6,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,Antiretroviral a increases rates of tuberculosis across a broad range of CD4 strata.,21,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,5,,
7,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,.phaze deficiency in the liver increases vulnerability to insulin resistance.,15,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,
8,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,.l-2 activation antagonizes the apoptotic effects of c-Myc.,16,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,
9,BCL-2 promotes the apoptotic effects of c-Myc.,BCL-2 regulates the apoptotic effects of c-Myc.,15,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
10,Bariatric surgery increases rates of colorectal cancer.,Bariatric surgery decreases rates of colorectal cancer.,10,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
11,Birth-weight is negatively associated with breast cancer.,Birth-weight is in associated with breast cancer.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,2,2,1,7,,
13,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,21,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
15,Cognitive behavioral therapy is an ineffective treatment for insomnia,Cognitive behavioral therapy is an effective treatment for insomnia,20,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
16,Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,Commelina yellow momosaic virus' (ComYMV) genome consists of 2140 baise pairs.,22,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,2,5,,
18,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations used on cRCT data lack external validity.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
19,DUSP4 decreases apoptosis.,.sp. decreases apoptosis.,8,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,
21,Dexamethasone increases risk of postoperative bleeding.,Dexamethasone decreases risk of postoperative bleeding.,10,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
23,Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,19,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
25,Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,later patent ductus ateriosus (PDA) screening increases in-hospital mortality.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
26,Enhanced early production of inflammatory chemokines damages viral control in the lung.,in early production of inflammatory chemokines damages viral control in the lung.,19,SuccessfulAttackResult,bert_attack_li_2020,0,,2,2,1,7,,
27,Exercise increases cancer mortality rates among Chinese citizens.,the increases cancer mortality rates among Chinese citizens.,12,SuccessfulAttackResult,bert_attack_li_2020,0,,2,2,1,2,,
28,Exercise reduces cancer mortality rates among Chinese citizens.,a reduces cancer mortality rates among Chinese citizens.,12,SuccessfulAttackResult,bert_attack_li_2020,0,,2,2,1,2,,
29,Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,Exposure to fine particulate air pollution is correlated to anxiety prevalence.,29,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
30,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,38,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
31,Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,.k1 regulates autophagy genes in muscle cells and fibroblast cells.,15,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,
32,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,29,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
34,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,Gpr124 decreases BBB breakdown in mouse models of ischemic stroke.,18,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
38,Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,Inhibiting focal adhesion formation decreases the rate at which cells convert mechanical strain into inflammation and fibrosis.,21,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
39,Integrated care is ineffective at tackling multiple comorbidities.,Integrated care is effective at tackling multiple comorbidities.,16,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
43,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced fatigue and insulin resistance.,22,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
44,Mitochondria play a trivial role in calcium homeostasis.,Mitochondria play a a role in calcium homeostasis.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,4,4,,
45,Monoclonal antibody targeting of N-cadherin encourages metastasis.,Monoclonal antibody release of N-cadherin encourages metastasis.,17,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,5,,
46,Natriuretic peptides increase susceptibility to diabetes.,natriure: peptides increase susceptibility to diabetes.,11,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,5,,
49,Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,Nonsteroidal antinflammatory drugs are effective as cancer treatments.,22,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
51,Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,Patients with common epithelial cancers are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,28,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
52,Pharmacist attendance at ward rounds increases adverse events in wards.,Pharmacist attendance at ward rounds increases of events in wards.,26,SuccessfulAttackResult,bert_attack_li_2020,0,,2,2,1,2,,
53,Physical activity does not improve cognitive function in individuals with Alzheimers.,Physical activity does not affect cognitive function in individuals with Alzheimers.,15,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
55,Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,Primary cervical cancer screening with HPV detection has greater longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
57,Risedronate increases risk of vertebral and non-vertebral fractures.,Risedronate increases risk of vertebral and non-vertebral injuries.,27,SuccessfulAttackResult,bert_attack_li_2020,1,2,,,,,3,3
58,Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,risk-acute mortality rates are similar in teaching and non-teaching hospitals.,15,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,5,,
60,Sepsis related mortality has risen from 2009 to 2014.,Sepsis related in has risen from 2009 to 2014.,18,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,5,,
62,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,49,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
67,The DESMOND program demonstrates no significant impact on weight loss.,The DESMOND program demonstrates no adverse impact on weight loss.,34,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
69,The mean suicide rate in women is lower after miscarriage than live birth.,The mean suicide rate in women is greater after miscarriage than live birth.,17,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
70,The minor G allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,The minor a allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,26,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,2,4,,
71,There is no increased risk of hypospadias with clomiphene.,There is no increased ad of hypospadias with clomiphene.,13,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,5,,
76,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung.","Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of immune chemokines in the lung.",30,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,
77,Whole brain radiotherapy increases the occurrence of new brain metastases.,Whole brain radiotherapy decreases the occurrence of new brain metastases.,26,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
80,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.","A total of 1,000 people in the UK are asymptomatic transmission of vCJD infection.",41,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
81,ALDH1 expression is associated with better breast cancer outcomes.,ALDH1 activity is associated with better breast cancer outcomes.,12,SuccessfulAttackResult,bert_attack_li_2020,1,2,,,,,3,3
83,Activation of PPM1D suppresses p53 function.,inhibition of PPM1D suppresses p53 function.,13,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
85,Articles published in open access format are less likely to be cited than traditional journals.,Articles published in open access format are more likely to be cited than traditional journals.,19,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
86,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than the therapy with anti-interleukin-2 receptor antibodies.,24,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
87,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has a negative impact on mental health.,24,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
88,Birth-weight is positively associated with breast cancer.,.-born is positively associated with breast cancer.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,
91,CR is associated with higher methylation age.,CR is involved with higher methylation age.,15,SuccessfulAttackResult,bert_attack_li_2020,1,2,,,,,3,1
92,CX3CR1 on the Th2 cells promotes airway inflammation.,CX3CR1 on the Th2 cells regulates airway inflammation.,21,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
93,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,Chenodeosycholic acid treatment reduces whole-body weight expenditure.,27,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
95,Gene expression does not vary appreciably across genetically identical cells.,Gene expression does not differ appreciably across genetically identical cells.,17,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,
97,High cardiopulmonary fitness causes increased mortality rate.,High cardiopulmonary growth causes increased mortality rate.,11,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,
99,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,Incidence rates of cervical cancer have improved due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
100,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,decreased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
102,Leuko-increased blood increases infectious complications in red blood cell transfusion.,Leuko-increased blood decreases infectious complications in red blood cell transfusion.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
103,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,Ly6C hi monocytes have a greater inflammatory capacity than Ly6C lo monocytes.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
105,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,Mice that have Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
106,Mitochondria are uninvolved in apoptosis.,.ochond. are uninvolved in apoptosis.,10,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,
108,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,.-tric ventilation use should be decreased if there is inadequate response to conventional treatment.,19,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,
109,Obesity is determined solely by environmental factors.,Obesity is determined primarily by environmental factors.,11,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,
110,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,increased responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,26,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
113,There is an inverse relationship between hip fractures and statin use.,There is an greater relationship between hip fractures and statin use.,17,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,
114,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,.-high graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,28,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,
117,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,Ultrasound guidance significantly decreases the number of traumatic procedures when attempting needle insertion.,18,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,
